GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sql-driver,mtogo.sql.adapter.messaging,MessageRouter,16,14,2,0,4,4,2,2,1,2
sql-driver,mtogo.sql.adapter.messaging,ConnectionManager,84,0,4,0,26,0,7,0,5,0
sql-driver,mtogo.sql.adapter.in,RabbitMQEventConsumer,49,112,1,3,14,24,3,5,2,4
sql-driver,mtogo.sql.adapter.persistence,SQLConnector,55,0,4,0,12,0,5,0,3,0
sql-driver,mtogo.sql.core,CustomerOrderCreationService,0,61,0,2,0,17,0,3,0,2
sql-driver,mtogo.sql.core,CustomerMenuRequestService,31,0,2,0,9,0,3,0,2,0
sql-driver,mtogo.sql.core,SupplierOrderCreationService,22,0,0,0,6,0,2,0,2,0
sql-driver,mtogo.sql.core,AuthReceiverService,78,0,10,0,19,0,7,0,2,0
sql-driver,mtogo.sql,Main,143,0,0,0,42,0,3,0,3,0
sql-driver,mtogo.sql.adapter.out,RabbitMQRpcResponder,139,0,0,0,40,0,3,0,3,0
sql-driver,mtogo.sql.adapter.out,PostgresModelRepository,51,356,5,17,19,107,5,12,0,6
sql-driver,mtogo.sql.adapter.out,RabbitMQOrderCreationEventProducer,0,13,0,0,0,4,0,2,0,2
sql-driver,mtogo.sql.adapter.out,PostgresAuthRepository,17,185,1,17,9,50,1,14,0,5
sql-driver,mtogo.sql.adapter.out,RabbitMQEventProducer,5,110,1,5,1,29,1,5,0,3
sql-driver,mtogo.sql.adapter.out,RabbitMQOrderPersistedEventProducer,13,0,0,0,4,0,2,0,2,0
sql-driver,mtogo.sql.adapter.out,RabbitMQRpcResponderFactory,18,0,0,0,5,0,2,0,2,0
sql-driver,mtogo.sql.adapter.handlers,SupplierOrderCreationHandler,6,79,0,2,1,21,0,3,0,2
sql-driver,mtogo.sql.adapter.handlers,CustomerOrderCreationHandler,5,63,0,0,2,18,0,3,0,3
sql-driver,mtogo.sql.adapter.handlers,CustomerMenuRequestHandler,25,95,0,2,6,26,0,3,0,2
sql-driver,mtogo.sql.adapter.handlers,AuthLoginHandler,7,117,0,2,1,29,0,3,0,2
